Time,Ground Truth,Estimation
2020-04-25 08:50:20,24,43
2020-04-25 08:50:30,46,69
2020-04-25 08:50:40,64,72
2020-04-25 08:50:50,69,67
2020-04-25 08:51:00,73,56
2020-04-25 08:51:10,75,53
2020-04-25 08:51:20,76,91
2020-04-25 08:51:30,76,93
2020-04-25 08:51:40,74,117
2020-04-25 08:51:50,72,93
2020-04-25 08:52:00,70,80
2020-04-25 08:52:10,75,53
2020-04-25 08:52:20,69,91
2020-04-25 08:52:30,73,61
2020-04-25 08:52:40,61,61
2020-04-25 08:52:50,66,91
2020-04-25 08:53:00,59,117
2020-04-25 08:53:10,61,125
2020-04-25 08:53:20,66,101
2020-04-25 08:53:30,71,80
2020-04-25 08:53:40,76,77
2020-04-25 08:53:50,69,72
2020-04-25 08:54:00,65,64
2020-04-25 08:54:10,74,99
2020-04-25 08:54:20,79,96
2020-04-25 08:54:30,73,80
2020-04-25 08:54:40,67,103
2020-04-25 08:54:50,68,117
2020-04-25 08:55:00,74,117
2020-04-25 08:55:10,65,123
2020-04-25 08:55:20,56,99
2020-04-25 08:55:30,61,109
2020-04-25 08:55:40,65,112
2020-04-25 08:55:50,72,104
2020-04-25 08:56:00,67,104
2020-04-25 08:56:10,68,123
2020-04-25 08:56:20,59,123
2020-04-25 08:56:30,64,72
2020-04-25 08:56:40,65,56
2020-04-25 08:56:50,65,59
2020-04-25 08:57:00,65,59
2020-04-25 08:57:10,67,61
2020-04-25 08:57:20,71,85
2020-04-25 08:57:30,63,85
2020-04-25 08:57:40,56,80
2020-04-25 08:57:50,55,93
2020-04-25 08:58:00,62,125
2020-04-25 08:58:10,72,123
2020-04-25 08:58:20,73,80
2020-04-25 08:58:30,73,123
2020-04-25 08:58:40,63,83
2020-04-25 08:58:50,71,123
2020-04-25 08:59:00,65,69
2020-04-25 08:59:10,64,57
2020-04-25 08:59:20,61,48
2020-04-25 08:59:30,62,45
2020-04-25 08:59:40,63,45
2020-04-25 08:59:50,68,48
2020-04-25 09:00:00,73,61
2020-04-25 09:00:10,67,57
2020-04-25 09:00:20,59,56
2020-04-25 09:00:30,51,40
2020-04-25 09:00:40,54,48
2020-04-25 09:00:50,59,61
2020-04-25 09:01:00,58,56
2020-04-25 09:01:10,60,75
2020-04-25 09:01:20,56,91
2020-04-25 09:01:30,60,117
2020-04-25 09:01:40,64,128
2020-04-25 09:01:50,65,93
2020-04-25 09:02:00,71,99
2020-04-25 09:02:10,64,64
2020-04-25 09:02:20,72,117
2020-04-25 09:02:30,65,105
2020-04-25 09:02:40,65,123
2020-04-25 09:02:50,56,115
2020-04-25 09:03:00,61,115
2020-04-25 09:03:10,62,96
2020-04-25 09:03:20,65,96
2020-04-25 09:03:30,58,67
2020-04-25 09:03:40,69,81
2020-04-25 09:03:50,71,103
2020-04-25 09:04:00,72,108
2020-04-25 09:04:10,67,85
2020-04-25 09:04:20,67,53
2020-04-25 09:04:30,65,53
2020-04-25 09:04:40,61,51
2020-04-25 09:04:50,54,72
2020-04-25 09:05:00,61,75
2020-04-25 09:05:10,61,64
2020-04-25 09:05:20,67,96
2020-04-25 09:05:30,64,83
2020-04-25 09:05:40,65,120
2020-04-25 09:05:50,70,117
2020-04-25 09:06:00,67,93
2020-04-25 09:06:10,70,93
2020-04-25 09:06:20,73,117
2020-04-25 09:06:30,76,117
2020-04-25 09:06:40,80,101
2020-04-25 09:06:50,74,53
2020-04-25 09:07:00,71,53
2020-04-25 09:07:10,60,53
2020-04-25 09:07:20,53,51
2020-04-25 09:07:30,59,61
2020-04-25 09:07:40,66,61
2020-04-25 09:07:50,70,120
2020-04-25 09:08:00,67,125
2020-04-25 09:08:10,69,80
2020-04-25 09:08:20,68,59
2020-04-25 09:08:30,74,115
2020-04-25 09:08:40,70,104
2020-04-25 09:08:50,67,112
2020-04-25 09:09:00,62,91
2020-04-25 09:09:10,68,117
2020-04-25 09:09:20,64,117
2020-04-25 09:09:30,63,59
2020-04-25 09:09:40,64,81
2020-04-25 09:09:50,66,107
2020-04-25 09:10:00,70,120
2020-04-25 09:10:10,73,115
2020-04-25 09:10:20,69,91
2020-04-25 09:10:30,65,69
2020-04-25 09:10:40,69,69
2020-04-25 09:10:50,61,75
2020-04-25 09:11:00,60,53
2020-04-25 09:11:10,58,45
2020-04-25 09:11:20,66,51
2020-04-25 09:11:30,74,91
2020-04-25 09:11:40,72,109
2020-04-25 09:11:50,72,112
2020-04-25 09:12:00,73,128
2020-04-25 09:12:10,74,128
2020-04-25 09:12:20,79,120
2020-04-25 09:12:30,74,67
2020-04-25 09:12:40,69,56
2020-04-25 09:12:50,57,56
2020-04-25 09:13:00,52,53
2020-04-25 09:13:10,61,117
2020-04-25 09:13:20,69,117
2020-04-25 09:13:30,68,104
2020-04-25 09:13:40,65,112
2020-04-25 09:13:50,59,115
2020-04-25 09:14:00,63,61
2020-04-25 09:14:10,66,80
2020-04-25 09:14:20,71,115
2020-04-25 09:14:30,78,117
2020-04-25 09:14:40,72,112
2020-04-25 09:14:50,73,101
2020-04-25 09:15:00,67,67
2020-04-25 09:15:10,65,48
2020-04-25 09:15:20,68,59
2020-04-25 09:15:30,63,59
2020-04-25 09:15:40,70,65
2020-04-25 09:15:50,69,89
2020-04-25 09:16:00,77,117
2020-04-25 09:16:10,72,113
2020-04-25 09:16:20,68,63
2020-04-25 09:16:30,58,53
2020-04-25 09:16:40,55,53
2020-04-25 09:16:50,57,52
2020-04-25 09:17:00,65,61
2020-04-25 09:17:10,76,77
2020-04-25 09:17:20,65,101
2020-04-25 09:17:30,64,104
2020-04-25 09:17:40,54,104
2020-04-25 09:17:50,63,117
2020-04-25 09:18:00,69,117
2020-04-25 09:18:10,75,59
2020-04-25 09:18:20,72,85
2020-04-25 09:18:30,68,69
2020-04-25 09:18:40,62,75
2020-04-25 09:18:50,63,53
2020-04-25 09:19:00,61,64
2020-04-25 09:19:10,73,117
2020-04-25 09:19:20,71,117
2020-04-25 09:19:30,68,96
2020-04-25 09:19:40,61,53
2020-04-25 09:19:50,61,43
2020-04-25 09:20:00,64,55
2020-04-25 09:20:10,66,83
2020-04-25 09:20:20,72,117
2020-04-25 09:20:30,68,88
2020-04-25 09:20:40,67,85
2020-04-25 09:20:50,69,67
2020-04-25 09:21:00,76,80
2020-04-25 09:21:10,72,91
2020-04-25 09:21:20,62,69
2020-04-25 09:21:30,65,96
2020-04-25 09:21:40,66,107
2020-04-25 09:21:50,72,107
2020-04-25 09:22:00,71,61
2020-04-25 09:22:10,68,75
2020-04-25 09:22:20,63,69
2020-04-25 09:22:30,61,53
2020-04-25 09:22:40,68,117
2020-04-25 09:22:50,70,115
2020-04-25 09:23:00,71,93
2020-04-25 09:23:10,65,117
2020-04-25 09:23:20,66,117
2020-04-25 09:23:30,67,117
2020-04-25 09:23:40,76,75
2020-04-25 09:23:50,73,107
2020-04-25 09:24:00,71,107
2020-04-25 09:24:10,66,83
2020-04-25 09:24:20,65,88
2020-04-25 09:24:30,66,69
2020-04-25 09:24:40,67,72
2020-04-25 09:24:50,65,71
2020-04-25 09:25:00,68,80
2020-04-25 09:25:10,69,96
2020-04-25 09:25:20,67,96
2020-04-25 09:25:30,62,61
2020-04-25 09:25:40,63,63
2020-04-25 09:25:50,58,53
2020-04-25 09:26:00,58,45
2020-04-25 09:26:10,65,53
2020-04-25 09:26:20,69,88
2020-04-25 09:26:30,66,88
2020-04-25 09:26:40,59,85
2020-04-25 09:26:50,60,125
2020-04-25 09:27:00,62,104
2020-04-25 09:27:10,65,139
2020-04-25 09:27:20,67,123
2020-04-25 09:27:30,63,117
2020-04-25 09:27:40,71,168
2020-04-25 09:27:50,67,160
2020-04-25 09:28:00,67,171
2020-04-25 09:28:10,69,91
2020-04-25 09:28:20,67,128
2020-04-25 09:28:30,78,128
2020-04-25 09:28:40,80,117
2020-04-25 09:28:50,77,112
2020-04-25 09:29:00,68,85
2020-04-25 09:29:10,69,96
2020-04-25 09:29:20,69,96
2020-04-25 09:29:30,68,123
2020-04-25 09:29:40,60,91
2020-04-25 09:29:50,61,128
2020-04-25 09:30:00,56,104
2020-04-25 09:30:10,63,117
2020-04-25 09:30:20,68,77
2020-04-25 09:30:30,70,69
2020-04-25 09:30:40,62,61
2020-04-25 09:30:50,61,88
2020-04-25 09:31:00,56,60
2020-04-25 09:31:10,66,101
2020-04-25 09:31:20,66,109
2020-04-25 09:31:30,64,107
2020-04-25 09:31:40,62,96
2020-04-25 09:31:50,59,61
2020-04-25 09:32:00,64,72
2020-04-25 09:32:10,66,52
2020-04-25 09:32:20,77,112
2020-04-25 09:32:30,67,139
2020-04-25 09:32:40,62,120
2020-04-25 09:32:50,58,96
2020-04-25 09:33:00,63,123
2020-04-25 09:33:10,63,123
2020-04-25 09:33:20,72,123
2020-04-25 09:33:30,64,91
2020-04-25 09:33:40,63,91
2020-04-25 09:33:50,61,112
2020-04-25 09:34:00,69,115
2020-04-25 09:34:10,67,115
2020-04-25 09:34:20,68,112
2020-04-25 09:34:30,69,115
2020-04-25 09:34:40,75,96
2020-04-25 09:34:50,71,80
2020-04-25 09:35:00,65,64
2020-04-25 09:35:10,63,61
2020-04-25 09:35:20,57,59
2020-04-25 09:35:30,63,60
2020-04-25 09:35:40,61,93
2020-04-25 09:35:50,64,64
2020-04-25 09:36:00,69,75
2020-04-25 09:36:10,68,109
2020-04-25 09:36:20,63,109
2020-04-25 09:36:30,61,75
2020-04-25 09:36:40,60,75
2020-04-25 09:36:50,68,101
2020-04-25 09:37:00,65,107
2020-04-25 09:37:10,63,53
2020-04-25 09:37:20,68,85
2020-04-25 09:37:30,67,96
2020-04-25 09:37:40,68,64
2020-04-25 09:37:50,68,91
2020-04-25 09:38:00,72,120
2020-04-25 09:38:10,69,104
2020-04-25 09:38:20,64,64
2020-04-25 09:38:30,68,61
2020-04-25 09:38:40,70,61
2020-04-25 09:38:50,71,75
2020-04-25 09:39:00,69,53
2020-04-25 09:39:10,65,88
2020-04-25 09:39:20,64,91
2020-04-25 09:39:30,65,91
2020-04-25 09:39:40,66,69
2020-04-25 09:39:50,69,80
2020-04-25 09:40:00,68,75
2020-04-25 09:40:10,72,93
2020-04-25 09:40:20,69,107
2020-04-25 09:40:30,70,115
2020-04-25 09:40:40,68,117
2020-04-25 09:40:50,70,123
2020-04-25 09:41:00,62,117
2020-04-25 09:41:10,65,125
2020-04-25 09:41:20,67,123
2020-04-25 09:41:30,65,91
2020-04-25 09:41:40,65,59
2020-04-25 09:41:50,63,109
2020-04-25 09:42:00,63,128
2020-04-25 09:42:10,60,133
2020-04-25 09:42:20,66,91
2020-04-25 09:42:30,74,120
2020-04-25 09:42:40,74,133
2020-04-25 09:42:50,59,125
2020-04-25 09:43:00,51,45
2020-04-25 09:43:10,57,59
2020-04-25 09:43:20,62,88
2020-04-25 09:43:30,68,85
2020-04-25 09:43:40,63,85
2020-04-25 09:43:50,65,59
2020-04-25 09:44:00,63,59
2020-04-25 09:44:10,72,112
2020-04-25 09:44:20,74,107
2020-04-25 09:44:30,65,88
2020-04-25 09:44:40,54,52
2020-04-25 09:44:50,53,49
2020-04-25 09:45:00,63,88
2020-04-25 09:45:10,72,109
